settled_date,league,home_team,away_team,market,bets,staked,profit_loss,roi_pct,pdf_proof
2026-04-13,Bundesliga,1. FC Köln,Werder Bremen,1X2,1,100,15,15,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1388562_1x2_12.04.2026%20FC%20Koln%20vs%20Werder%20Bremen%20(1x2).pdf
2026-04-13,Serie A,Como,Inter,1X2,3,300,-165,-55,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1378177_1x2_12.04.2026%20Como%20vs%20Inter%20Milan%20(1x2).pdf
2026-04-13,Serie A,Genoa,Sassuolo,1X2,1,100,50,50,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1378179_1x2_12.04.2026%20Genoa%20vs%20Sassuolo%20(1x2).pdf
2026-04-13,Premier League,Chelsea,Manchester City,1X2,1,100,-100,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1379282_1x2_12.04.2026%20Chelsea%20vs%20Manchester%20City%20(1x2).pdf
2026-04-13,Premier League,Crystal Palace,Newcastle,1X2,2,200,-200,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1379283_1x2_12.04.2026%20Crystal%20Palace%20vs%20Newcastle%20United%20(1x2).pdf
2026-04-13,Premier League,Nottingham Forest,Aston Villa,1X2,2,200,74,37,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1379286_1x2_12.04.2026%20Nottingham%20Forest%20vs%20Aston%20Villa%20(1x2).pdf
2026-04-13,Premier League,Sunderland,Tottenham,1X2,2,200,95,47.5,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1379287_1x2_12.04.2026%20Sunderland%20vs%20Tottenham%20Hotspur%20(1x2).pdf
2026-04-13,Serie A,Fiorentina,Lazio,1X2,1,100,181,181,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1378178_1x2_14.04.2026%20Fiorentina%20vs%20Lazio%20(1x2).pdf
2026-04-13,Premier League,Manchester United,Leeds,1X2,1,100,-100,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1379285_1x2_14.04.2026%20Manchester%20United%20vs%20Leeds%20United%20(1x2).pdf
2026-04-14,UEFA Champions League,Liverpool,Paris Saint Germain,1X2,5,500,496,99.2,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1534912_1x2_15.04.20256Liverpool%20vs%20PSG.pdf
2026-04-15,UEFA Champions League,Bayern München,Real Madrid,1X2,3,300,-142,-47.3,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1534911_1x2_16.04.2026%20Bayern%20Munchen%20vs%20Real%20Madrid%20(1x2).pdf
2026-04-15,UEFA Champions League,Arsenal,Sporting CP,1X2,1,100,169,169,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1534571_1x2_16.04.2026%20Arsenal%20vs%20Sporting%20Sporting%20Lisbon_1x2).pdf
2026-04-15,UEFA Champions League,Arsenal,Sporting CP,1X2,8,1320,1359.9,103,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1534571_1x2_16.04.2026%20Arsenal%20vs%20Sporting%20Sporting%20Lisbon_1x2).pdf
2026-04-15,UEFA Champions League,Bayern München,Real Madrid,1X2,3,495,645.3,130.4,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1534911_1x2_16.04.2026%20Bayern%20Munchen%20vs%20Real%20Madrid%20(1x2).pdf
2026-04-19,Premier League,Brentford,Fulham,1X2,1,100,183,183,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1379290_1x2_18.04.2026%20Brentford%20vs%20Fulham%20(1x2).pdf
2026-04-19,Bundesliga,1899 Hoffenheim,Borussia Dortmund,1X2,1,100,43,43,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1388574_1x2_18.04.2026%20TSG%201899%20Hoffenheim%20vs%20Borussia%20Dortmund%20(1x2).pdf
2026-04-19,Bundesliga,Union Berlin,VfL Wolfsburg,1X2,2,200,-24,-12,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1388576_1x2_18.04.2026%20Union%20Berlin%20vs%20VfL%20Wolfsburg%20(1x2).pdf
2026-04-19,Bundesliga,Werder Bremen,Hamburger SV,1X2,2,200,-200,-100,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1388577_1x2_18.04.2026%20Werder%20Bremen%20vs%20Hamburger%20SV%20(1x2).pdf
2026-04-19,Premier League,Newcastle,Bournemouth,1X2,1,100,168,168,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1379296_1x2_18.04.2026%20Newcastle%20United%20vs%20AFC%20Bournemouth%20(1x2).pdf
2026-04-19,Bundesliga,Eintracht Frankfurt,RB Leipzig,1X2,3,300,16,5.3,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1388572_1x2_18.04.2026%20Eintracht%20Frankfurt%20vs%20RB%20Leipzig%20(1x2).pdf
2026-04-19,Premier League,Tottenham,Brighton,1X2,3,300,55,18.3,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1379298_1x2_18.04.2026%20Tottenham%20Hotspur%20vs%20Brighton%20&%20Hove%20Albion%20(1x2).pdf
2026-04-19,Premier League,Chelsea,Manchester United,1X2,2,200,100,50,https://wykjlhbsxparltxazxmk.supabase.co/storage/v1/object/public/bets-pdf/1379291_1x2_18.04.2026%20Chelsea%20vs%20Manchester%20United%20(1x2).pdf
